name	place	lat	lon
@davtun	Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España	40.4167047	-3.7035825
@dawnerd	Beaverton, Washington County, Oregon, USA	45.4871723	-122.8037804
@ddowza	City of Melbourne, Victoria, Australia	-37.8142176	144.9631608
@DesolusDev	Boston, Suffolk County, Massachusetts, USA	42.3602534	-71.0582912
@DigiRanger1994	Jericho, Nassau County, New York, 11753, USA	40.7920441	-73.5398476
@Disasterbator	Tipperary House, 7, Parkgate Street, Arran Quay D ED, Dublin 7, Dublin, County Dublin, Leinster, D08 W2A8, Ireland	53.3480433	-6.2903953
@djsweatydank	Southern Gulf Islands Electoral Area, Capital Regional District, British Columbia, Canada	48.76266855	-123.187495263554
@DKshad0w	Terra Firma, Shearwater, Port Sorell, Tasmania, 7307, Australia	-41.16759415	146.536849231946
@docsigma	Kansas, USA	38.27312	-98.5821872
@donniemnemonic	Wellington, Wellington City, Wellington, 6141, New Zealand/Aotearoa	-41.2887467	174.7772092
@drinksechs	Ohio, USA	40.2253569	-82.6881395
@Druid_Con	Florida, USA	27.7567667	-81.4639835
@duncantrussell	บ้านออนกลาง, จังหวัดเชียงใหม่, ประเทศไทย	18.7732356	99.2605423
@DylanDoppelt	Chicago, Cook County, Illinois, USA	41.8755616	-87.6244212
@dylazer	Florida Peninsula, Lonesome Island Road, Highlands County, Florida, USA	27.25	-81.25
@earl_earlmax	Earth, Lamb County, Texas, USA	34.2331373	-102.4107493
@EbullentPrism	Grand Bassa, Liberia	6.1640621	-9.895669
@EDdotSE	Δράμα, Δήμος Δράμας, Περιφερειακή Ενότητα Δράμας, Περιφέρεια Ανατολικής Μακεδονίας και Θράκης, Μακεδονία - Θράκη, 66100, Ελλάδα	41.1499443	24.1468286
@emanuelrv	Hlavní město Praha, Praha, Česko	50.0596288	14.446459273258
@EMPLmusic	Somis, Ventura County, California, 93066, USA	34.2572261	-118.9962124
@enemykrab	Semen, Jawa Timur, 64182, Indonesia	-7.7746282	112.0604744
@enkiv2	Nowhere, Franklin County, Kansas, USA	38.7311123	-95.2414104
@Enzemo	England, UK	52.7954791	-0.540240286617432
@Espiritualista1	SP, Microrregião de São Paulo, RMSP, Mesorregião Metropolitana de São Paulo, SP, Região Sudeste, Brasil	-23.5506507	-46.6333824
@esucksLAMB	USA	39.7837304	-100.4458825
@EvanMcM	Narrow path - thorn everywhere, Sântelec, Bihor, 417278, România	46.9599823	22.0541733
@ezequielstacos	Mission Hills, Pacoima, LA, Los Angeles County, California, 91345, USA	34.2572249	-118.4670285
@f3rmion	India	22.3511148	78.6677428
@fatimagarthia	Titan, Calle de Juan Pablo Bonet, Torrero, Zaragoza, Aragón, 50006, España	41.6405873	-0.8891763
@filthyfujoshi	What!, Penylan, Cardiff, Wales, CF, UK	51.4987795	-3.14212002706831
@firebellys	City Mart ( Yay Kyaw Branch ), ရေကျော်လမ်း, ပုဇွန်တောင်, Eastern District, ရန်ကုန်, Yangon, 11171, မြန်မာ	16.7794968	96.170573
@fishkeks	Магнитогорск, Магнитогорский городской округ, Челябинская область, Уральский федеральный округ, 455000, РФ	53.4242184	58.983136
@Fizzit86	Deep South, 51, Grand Parade, Centre A, Cork, County Cork, Munster, T12 FH27, Ireland	51.8962154	-8.4751204
@FortuneMagazine	NYC, New York, USA	40.7308619	-73.9871558
@Freezing_Dart	Orbit, Lodhika gidc Road, Metoda GIDC, Rajkot, Gujarat, 360001, India	22.24940845	70.6859191048907
@Garon_w	Canada	61.0666922	-107.9917071
@garsidetogo	Dallas, Dallas County, Texas, USA	32.7762719	-96.7968559
@GART_9000	Tennessee, USA	35.7730076	-86.2820081
@Gedankenschild	Baden-Württemberg, Deutschland	48.6296972	9.1949534
@geekken	대한민국	36.5581914	127.9408564
@GENIC0N	Yusuf Hair Palnure, Internet, mobile money and Gift Centre, Mbale-Sironko-Kapchorwa Highway, Kapchorwa, Eastern Region, Uganda	1.3963413	34.4486308
@gigagiga335	Dreamland, Houghton County, Michigan, USA	47.0977044	-88.4131758
